latitude,longitude,cluster_title,cluster_id,text,message_id,title,summary,summary_id
50.4503596,30.5245025,Public Safety Concerns,2.0,"We are being informed:

There is a fire on Ushynskyi Street.
Someone set a garage on fire.

👀",70883.0,Garage Fire on Ushynskyi Street,"('A garage fire on Ushynskyi Street and a missing dog in Kyiv are causing chaos, with traffic issues due to an accident. Urgent appeals for help circulate alongside charity events for military support.', 1874)",7af36581-c80e-4449-aa13-0c7eced59df8
50.4503596,30.5245025,Cultural Resilience,0.0,"We are being informed:

There is a fire on Ushynskyi Street.
Someone set a garage on fire.

👀",70883.0,Garage Fire on Ushynskyi Street,"('A fire on Ushynskyi Street destroyed a garage, while a missing friendly black pug named John adds to community concerns. Additionally, a fast tram is shedding plaster, posing safety risks.', 2853)",1da2d472-757b-4b4b-bce1-529a4791d6f7
50.4649376,30.3550961,Public Safety Concerns,2.0,"Accident at the Akademmistechko metro station, towards Lavina.",70855.0,Accident at Akademmistechko Station,"('Accident at Akademmistechko metro station affects train services towards Lavina, causing delays. Safety concerns may arise pending investigations.', 310)",3b1a8042-5ec1-4a99-aa22-ea4b74fe5a80
50.4503596,30.5245025,Public Safety Concerns,2.0,"**Complicated traffic in the direction of Vadym Hetman Street due to an accident,** - police.",70830.0,Traffic Complications on Vadym Hetman,"('A garage fire on Ushynskyi Street and a missing dog in Kyiv are causing chaos, with traffic issues due to an accident. Urgent appeals for help circulate alongside charity events for military support.', 1874)",7af36581-c80e-4449-aa13-0c7eced59df8
50.4503596,30.5245025,Missing Pets,6.0,"DOG MISSING!!!

Today in the area of P. Radchenko Street, a mother was walking her dog, which broke free from the leash and ran after a yard dog.

At 9:10, it was seen running across Lobanovskyi Street and near the Holovka bus stop and the former Belgorodskyi Street.

A black pug, responds to the name John, Joni. Very friendly, approaches people.

White spots on the chest and front paws.

If anyone has seen him and can catch him or has any information - please write to me!

@lakiza_ann
0669996245

REWARD!

And I kindly ask you to share this in similar local chats 🥺

The little dog is very much awaited at home!!!",70825.0,Missing Dog in Kyiv Area,"('A black pug named John is missing in Kyiv after escaping from its owner. Seen near Lobanovskyi St. with white spots, the friendly dog is urgently sought; a reward is offered for its return.', 856)",a82df1d4-f301-4acc-a5d9-e5d7f41c528d
50.4503596,30.5245025,Public Safety Concerns,2.0,"DOG MISSING!!!

Today in the area of P. Radchenko Street, a mother was walking her dog, which broke free from the leash and ran after a yard dog.

At 9:10, it was seen running across Lobanovskyi Street and near the Holovka bus stop and the former Belgorodskyi Street.

A black pug, responds to the name John, Joni. Very friendly, approaches people.

White spots on the chest and front paws.

If anyone has seen him and can catch him or has any information - please write to me!

@lakiza_ann
0669996245

REWARD!

And I kindly ask you to share this in similar local chats 🥺

The little dog is very much awaited at home!!!",70825.0,Missing Dog in Kyiv Area,"('A garage fire on Ushynskyi Street and a missing dog in Kyiv are causing chaos, with traffic issues due to an accident. Urgent appeals for help circulate alongside charity events for military support.', 1874)",7af36581-c80e-4449-aa13-0c7eced59df8
50.4503596,30.5245025,Community Support,3.0,"DOG MISSING!!!

Today in the area of P. Radchenko Street, a mother was walking her dog, which broke free from the leash and ran after a yard dog.

At 9:10, it was seen running across Lobanovskyi Street and near the Holovka bus stop and the former Belgorodskyi Street.

A black pug, responds to the name John, Joni. Very friendly, approaches people.

White spots on the chest and front paws.

If anyone has seen him and can catch him or has any information - please write to me!

@lakiza_ann
0669996245

REWARD!

And I kindly ask you to share this in similar local chats 🥺

The little dog is very much awaited at home!!!",70825.0,Missing Dog in Kyiv Area,"(""A black pug named John is missing in Kyiv after escaping a leash. He's friendly and identifiable by white spots. Urgent help to locate him is sought; a reward offered."", 1543)",d0282468-b403-4dc0-803a-1d88eaa07ae6
50.4503596,30.5245025,Cultural Resilience,0.0,"DOG MISSING!!!

Today in the area of P. Radchenko Street, a mother was walking her dog, which broke free from the leash and ran after a yard dog.

At 9:10, it was seen running across Lobanovskyi Street and near the Holovka bus stop and the former Belgorodskyi Street.

A black pug, responds to the name John, Joni. Very friendly, approaches people.

White spots on the chest and front paws.

If anyone has seen him and can catch him or has any information - please write to me!

@lakiza_ann
0669996245

REWARD!

And I kindly ask you to share this in similar local chats 🥺

The little dog is very much awaited at home!!!",70825.0,Missing Dog in Kyiv Area,"('A fire on Ushynskyi Street destroyed a garage, while a missing friendly black pug named John adds to community concerns. Additionally, a fast tram is shedding plaster, posing safety risks.', 2853)",1da2d472-757b-4b4b-bce1-529a4791d6f7
50.4503596,30.5245025,Public Safety Concerns,2.0,"Accident on Oleksy Tykhyi. Traffic is complicated, please take this into account.",70653.0,Traffic Complications on Oleksy Tykhyi,"('A garage fire on Ushynskyi Street and a missing dog in Kyiv are causing chaos, with traffic issues due to an accident. Urgent appeals for help circulate alongside charity events for military support.', 1874)",7af36581-c80e-4449-aa13-0c7eced59df8
50.4503596,30.5245025,Cultural Resilience,0.0,"Fedor Ernst Street

A courier was hit

@lossolomas_kyiv",70623.0,Courier Injured on Fedor Ernst,"('A fire on Ushynskyi Street destroyed a garage, while a missing friendly black pug named John adds to community concerns. Additionally, a fast tram is shedding plaster, posing safety risks.', 2853)",1da2d472-757b-4b4b-bce1-529a4791d6f7
50.4503596,30.5245025,Public Safety Concerns,2.0,"We are being informed:

The fast tram, Lubomyr Huzar station, is shedding plaster in large chunks.
Be careful.",70612.0,Plaster Falling at Tram Station,"('A garage fire on Ushynskyi Street and a missing dog in Kyiv are causing chaos, with traffic issues due to an accident. Urgent appeals for help circulate alongside charity events for military support.', 1874)",7af36581-c80e-4449-aa13-0c7eced59df8
50.4503596,30.5245025,Cultural Resilience,0.0,"We are being informed:

The fast tram, Lubomyr Huzar station, is shedding plaster in large chunks.
Be careful.",70612.0,Plaster Falling at Tram Station,"('A fire on Ushynskyi Street destroyed a garage, while a missing friendly black pug named John adds to community concerns. Additionally, a fast tram is shedding plaster, posing safety risks.', 2853)",1da2d472-757b-4b4b-bce1-529a4791d6f7
50.4503596,30.5245025,Cultural Resilience,0.0,"**Charity mono-performance ""Unborn for War"".**
On stage of the theater — a fighter of the Third Assault Brigade, Honored Artist of Ukraine Yevhen Avdiyenko.

This tragicomedy is about black humor, love and loneliness, unbearable military hooliganism, and dangerous adventures. Real stories from the front without pathos and romance.

When: November 21, 19:00.

📍 Where: Kyiv Academic Drama Theater on Podil (Andriivskyi Descent, 20-B).

💸 Cost: 300 - 800 UAH. All funds will be directed to the needs of our military on the front line.

Tickets can be purchased [via this link.](https://kyiv.karabas.com/3-tya-shturmova-bryhada-ta-chornyy-kvadrat-militari-stand-up-nenarodzheni-dlya-viyny-9/)",70608.0,Charity Performance for Military,"('A fire on Ushynskyi Street destroyed a garage, while a missing friendly black pug named John adds to community concerns. Additionally, a fast tram is shedding plaster, posing safety risks.', 2853)",1da2d472-757b-4b4b-bce1-529a4791d6f7
50.4503596,30.5245025,Community Engagement,4.0,"**Charity mono-performance ""Unborn for War"".**
On stage of the theater — a fighter of the Third Assault Brigade, Honored Artist of Ukraine Yevhen Avdiyenko.

This tragicomedy is about black humor, love and loneliness, unbearable military hooliganism, and dangerous adventures. Real stories from the front without pathos and romance.

When: November 21, 19:00.

📍 Where: Kyiv Academic Drama Theater on Podil (Andriivskyi Descent, 20-B).

💸 Cost: 300 - 800 UAH. All funds will be directed to the needs of our military on the front line.

Tickets can be purchased [via this link.](https://kyiv.karabas.com/3-tya-shturmova-bryhada-ta-chornyy-kvadrat-militari-stand-up-nenarodzheni-dlya-viyny-9/)",70608.0,Charity Performance for Military,"('The ""Unborn for War"" performance highlights wartime experiences but underscores ongoing issues like delayed building repairs from Russian shelling, impacting the community a year later.', 717)",a10a2ee1-1f62-49fc-9378-50952260ddd1
50.4503596,30.5245025,Job Opportunities,1.0,"**Charity mono-performance ""Unborn for War"".**
On stage of the theater — a fighter of the Third Assault Brigade, Honored Artist of Ukraine Yevhen Avdiyenko.

This tragicomedy is about black humor, love and loneliness, unbearable military hooliganism, and dangerous adventures. Real stories from the front without pathos and romance.

When: November 21, 19:00.

📍 Where: Kyiv Academic Drama Theater on Podil (Andriivskyi Descent, 20-B).

💸 Cost: 300 - 800 UAH. All funds will be directed to the needs of our military on the front line.

Tickets can be purchased [via this link.](https://kyiv.karabas.com/3-tya-shturmova-bryhada-ta-chornyy-kvadrat-militari-stand-up-nenarodzheni-dlya-viyny-9/)",70608.0,Charity Performance for Military,"('Charity performance ""Unborn for War"" showcases real front-line stories, highlighting military hardship. Proceeds support soldiers, while local coffee shop seeks baristas amid tragedy.', 681)",7f63f99d-211e-4417-a7ac-639ea0e8940a
50.4503596,30.5245025,Community Support,3.0,"**Charity mono-performance ""Unborn for War"".**
On stage of the theater — a fighter of the Third Assault Brigade, Honored Artist of Ukraine Yevhen Avdiyenko.

This tragicomedy is about black humor, love and loneliness, unbearable military hooliganism, and dangerous adventures. Real stories from the front without pathos and romance.

When: November 21, 19:00.

📍 Where: Kyiv Academic Drama Theater on Podil (Andriivskyi Descent, 20-B).

💸 Cost: 300 - 800 UAH. All funds will be directed to the needs of our military on the front line.

Tickets can be purchased [via this link.](https://kyiv.karabas.com/3-tya-shturmova-bryhada-ta-chornyy-kvadrat-militari-stand-up-nenarodzheni-dlya-viyny-9/)",70608.0,Charity Performance for Military,"(""A black pug named John is missing in Kyiv after escaping a leash. He's friendly and identifiable by white spots. Urgent help to locate him is sought; a reward offered."", 1543)",d0282468-b403-4dc0-803a-1d88eaa07ae6
50.4503596,30.5245025,Public Safety Concerns,2.0,"**Charity mono-performance ""Unborn for War"".**
On stage of the theater — a fighter of the Third Assault Brigade, Honored Artist of Ukraine Yevhen Avdiyenko.

This tragicomedy is about black humor, love and loneliness, unbearable military hooliganism, and dangerous adventures. Real stories from the front without pathos and romance.

When: November 21, 19:00.

📍 Where: Kyiv Academic Drama Theater on Podil (Andriivskyi Descent, 20-B).

💸 Cost: 300 - 800 UAH. All funds will be directed to the needs of our military on the front line.

Tickets can be purchased [via this link.](https://kyiv.karabas.com/3-tya-shturmova-bryhada-ta-chornyy-kvadrat-militari-stand-up-nenarodzheni-dlya-viyny-9/)",70608.0,Charity Performance for Military,"('A garage fire on Ushynskyi Street and a missing dog in Kyiv are causing chaos, with traffic issues due to an accident. Urgent appeals for help circulate alongside charity events for military support.', 1874)",7af36581-c80e-4449-aa13-0c7eced59df8
50.4413353,30.489963,Public Safety Concerns,2.0,"**At ""Vokzalna"" metro station, a passenger who fell onto the tracks is alive**

The police are already on site, and an ambulance has been called for the woman. Train movement has been restored, and the delay was no more than 7 minutes.

@lossolomas_kyiv",70607.0,Passenger Rescued at Metro Station,"('A woman fell onto the tracks at Vokzalna metro station, leading to a police and ambulance response. Fortunately, she survived, and train delays were minimal at 7 minutes.', 577)",ca99b4f4-dd85-4cb2-88d1-b09f978150d4
50.4413353,30.489963,Cultural Resilience,0.0,"**At ""Vokzalna"" metro station, a passenger who fell onto the tracks is alive**

The police are already on site, and an ambulance has been called for the woman. Train movement has been restored, and the delay was no more than 7 minutes.

@lossolomas_kyiv",70607.0,Passenger Rescued at Metro Station,"('A woman fell onto the tracks at Vokzalna metro station but was rescued without serious injury. Train service resumed after a brief delay, highlighting metro safety concerns.', 538)",25154b43-3fc0-48c2-88c3-9af08ecf7f69
