latitude,longitude,cluster_title,cluster_id,text,message_id,title,summary,summary_id,place_id
50.4485221,30.4494086,Heating and Water Issues,0.0,"**🌡️ Repair work on heating networks**

Today from 9:00 AM, there is no hot water supply and heating in most dormitories.

Estimated return time: 12:00 PM on November 12.

@kpicampus",392.0,Heating Outage in Dormitories,"(""Heating networks face outages in dormitories, with hot water missing for 3 months. Repairs may extend to early 2024, impacting students' comfort and daily life."", 1101)",5a8d5757-6ae8-4169-9a7e-1352fc0e86cf,59bd56981ed956a4fc3ceaa7f80e00f6
50.4485221,30.4494086,Heating and Water Issues,0.0,"⚠️ **Emergency**

Emergency power outage across the Shulyavka area and KPI.

Estimated return time according to DTEK is 6:00 PM.

If you need to recharge, approach the guards for a power bank.

@kpicampus",402.0,Emergency Power Outage Alert,"(""Heating networks face outages in dormitories, with hot water missing for 3 months. Repairs may extend to early 2024, impacting students' comfort and daily life."", 1101)",5a8d5757-6ae8-4169-9a7e-1352fc0e86cf,59bd56981ed956a4fc3ceaa7f80e00f6
50.4485221,30.4494086,Heating and Water Issues,0.0,"💡**Power outages**

Starting from May 16, hourly power outages may occur in Kyiv and the student campus according to the [schedule](https://www.dtek-kem.com.ua/ua/shutdowns) of Ukrenergo and DTEK.

Preliminary outages may occur [from](https://t.me/suspilnenews/32727) 12:00 AM to 9:00 AM or from 4:00 PM to 12:00 AM.

@kpicampus",404.0,Hourly Power Outages Scheduled,"(""Heating networks face outages in dormitories, with hot water missing for 3 months. Repairs may extend to early 2024, impacting students' comfort and daily life."", 1101)",5a8d5757-6ae8-4169-9a7e-1352fc0e86cf,59bd56981ed956a4fc3ceaa7f80e00f6
50.4485221,30.4494086,Heating and Water Issues,0.0,"🌡️ **Well, you get it**

**Kyivteploenergo promises to finish work by 11:00 PM every day, but ""something"" is going off plan.**

Estimated time: by the end of the month. Probably in 2024.

@kpicampus",405.0,Heating Work Delays Expected,"(""Heating networks face outages in dormitories, with hot water missing for 3 months. Repairs may extend to early 2024, impacting students' comfort and daily life."", 1101)",5a8d5757-6ae8-4169-9a7e-1352fc0e86cf,59bd56981ed956a4fc3ceaa7f80e00f6
50.4485221,30.4494086,Heating and Water Issues,0.0,"🟢 **Directorate 06.08**

**Settlement**
Will begin on August 26, and by the end of the week, there will be lists for settlement from faculties and institutes. In total, about 9,000 students are planned to be brought out for mixed learning.

**Masters**
By August 2, they were supposed to write a [request](https://docs.google.com/document/d/13FJxmoUKzXYeRo9T8oGxshdi3MXm1faIDpQwAO6Tk1E/edit?usp=sharing) for a change in payment format and extension of residence in the dormitory until August 31.

If you haven't written a request, contact the manager.

**Hot water**
In some dormitories, there has been no hot water for 3 months due to major repair work.

**Elevators**
Due to the stabilization of electricity supply, the operation of most elevators will be restored.

@kpicampus",406.0,Settlement and Hot Water Issues,"(""Heating networks face outages in dormitories, with hot water missing for 3 months. Repairs may extend to early 2024, impacting students' comfort and daily life."", 1101)",5a8d5757-6ae8-4169-9a7e-1352fc0e86cf,59bd56981ed956a4fc3ceaa7f80e00f6
50.4485221,30.4494086,Heating and Water Issues,0.0,"[​​](https://telegra.ph/file/b793c7b6b4d653e40c4f4.jpg)🙌 **Recruitment of volunteers to assist with settlement**

We are looking for volunteers who are ready to help settle newcomers! This is a great opportunity to meet new people and make the lives of first-year students in the campus easier.

If you have some free time and want to do something useful – fill out the [form at the link](https://forms.gle/3i48ThrZcRTxM3e68) **by August 25 inclusive.** We look forward to having you on our team!

@kpicampus",408.0,Volunteers Needed for Settling,"(""Heating networks face outages in dormitories, with hot water missing for 3 months. Repairs may extend to early 2024, impacting students' comfort and daily life."", 1101)",5a8d5757-6ae8-4169-9a7e-1352fc0e86cf,59bd56981ed956a4fc3ceaa7f80e00f6
50.4485221,30.4494086,Heating and Water Issues,0.0,"🌡 **Hot water outage**

**Due to emergency work, there is no hot water in some dormitories due to Kyivteploenergo.**

Hot water supply is planned to be restored by the evening of August 29.

@kpicampus",409.0,Hot Water Supply Disruption,"(""Heating networks face outages in dormitories, with hot water missing for 3 months. Repairs may extend to early 2024, impacting students' comfort and daily life."", 1101)",5a8d5757-6ae8-4169-9a7e-1352fc0e86cf,59bd56981ed956a4fc3ceaa7f80e00f6
50.4490125,30.4508679,Heating and Water Issues,0.0,"🟢 **Administration**

**Masters**
Students who complete their master's studies in winter will be evicted.

We remind you that previously, master's interns could continue to [stay until summer as external individuals.](https://t.me/kpicampus/1504)

**Heating**
Heating is planned to be supplied according to the KMDA schedule — **around October 15.** As usual, heating in the dormitories will be delayed by a week.

**Payment**
Payment in September was calculated at the rate of 4 people per room; starting in October, the payment amount will be calculated based on the [number of registered residents in the room](https://t.me/kpicampus/1059).

If a student is settled in the middle of the month, the payment will change from the following month, not from the moment of their settlement.

**""Laundry""**
New washing machines are planned to be added to the dormitories to replace the old ones.

**Illegal Residents**
The surveillance cameras planned to be installed in the student campus will be directly connected to the DB office to reduce the number of illegal residents entering the dormitory.

**Windows**
The installation of new windows in Dormitory 4 is delayed due to incorrectly specified dimensions.

@kpicampus",158.0,Dormitory Updates for Students,"(""Master's students face eviction post-winter graduation, heating delays impending, hot water shut off until June, and new laundry machines on the way despite ongoing issues like illegal residents."", 782)",cff859a1-73c2-4966-b2b2-ae658b0e959a,e9a677af11928e66ce0548baff1aa078
50.4490125,30.4508679,Heating and Water Issues,0.0,"💧**May Without Water**

There is no hot water supply in the dormitories due to a break in the heating network and the corresponding repair work until May 13 at 23:59. After their completion, hydraulic tests of the pipes will begin until the end of the month.

The estimated completion date for all work and the return of water, according to Kyivteploenergo, is May 28 — 31.

@kpicampus",161.0,Hot Water Outage Extended,"(""Master's students face eviction post-winter graduation, heating delays impending, hot water shut off until June, and new laundry machines on the way despite ongoing issues like illegal residents."", 782)",cff859a1-73c2-4966-b2b2-ae658b0e959a,e9a677af11928e66ce0548baff1aa078
50.4490125,30.4508679,Heating and Water Issues,0.0,"**🟢 Administration**

**Shelters**
Repairs are planned in 6 dormitories that have shelters by autumn.

**Power Banks**
For emergency charging, most dormitories have [power banks](https://t.me/ecokpi/142) available at the reception.

If you do not have a power bank or it is in poor condition, please request a replacement at @kpicampus_bot.

**Generators**
Will only be used in case of power outages lasting more than 4 hours, and only for charging flashlights and phones.

@kpicampus",162.0,Dormitory Repairs and Resources,"(""Master's students face eviction post-winter graduation, heating delays impending, hot water shut off until June, and new laundry machines on the way despite ongoing issues like illegal residents."", 782)",cff859a1-73c2-4966-b2b2-ae658b0e959a,e9a677af11928e66ce0548baff1aa078
50.4490125,30.4508679,Heating and Water Issues,0.0,"UPD: The hot water supply shutdown has been extended to June 10.

@kpicampus",163.0,Hot Water Shutdown Extended,"(""Master's students face eviction post-winter graduation, heating delays impending, hot water shut off until June, and new laundry machines on the way despite ongoing issues like illegal residents."", 782)",cff859a1-73c2-4966-b2b2-ae658b0e959a,e9a677af11928e66ce0548baff1aa078
50.4364983,30.4283648,Heating and Water Issues,0.0,"🚰 **Message from the Future**

According to Kyivteploenergo, there will be no water supply starting tomorrow at 9:00 AM.

The estimated time for the return of water supply will be communicated by Kyivteploenergo tomorrow, based on the volume of work.

@kpicampus",427.0,Water Supply Disruption Tomorrow,"('Kyivteploenergo reports water supply disruptions starting tomorrow; hot water outages in some dorms persist for months due to repairs, affecting student living conditions.', 1092)",e6d956ff-ae83-45f6-8825-27741786ce4a,8834dd60bcc6f0ec08996f27927f7f39
50.4364983,30.4283648,Heating and Water Issues,0.0,"UPD: The disconnection of hot water supply has been extended until June 10.

@kpicampus",431.0,Hot Water Shutdown Extended,"('Kyivteploenergo reports water supply disruptions starting tomorrow; hot water outages in some dorms persist for months due to repairs, affecting student living conditions.', 1092)",e6d956ff-ae83-45f6-8825-27741786ce4a,8834dd60bcc6f0ec08996f27927f7f39
50.4364983,30.4283648,Heating and Water Issues,0.0,"🟢 **Administration**

**Settlement**
The settlement algorithm for the summer will be announced tomorrow, based on a similar, [last year's principle](https://t.me/kpicampus/1580).

The number of settlement places for the next academic year is planned to increase by 1,500. Instructions for the settlement itself will be available by July 17.

**Elevators**
Elevators are starting to resume operation, but it is necessary to monitor the disconnection schedules to avoid getting stuck in the elevator in the middle of the night.

**Inventory**
From June 5 to June 7, an inventory commission will check the current state of inventory in the rooms.

@kpicampus",432.0,Summer Settlement Updates,"('Kyivteploenergo reports water supply disruptions starting tomorrow; hot water outages in some dorms persist for months due to repairs, affecting student living conditions.', 1092)",e6d956ff-ae83-45f6-8825-27741786ce4a,8834dd60bcc6f0ec08996f27927f7f39
50.4364983,30.4283648,Heating and Water Issues,0.0,"🟢 **Administration 06.08**

**Settlement**
It will start on August 26, and by the end of the week, there will be lists for settlement from faculties and institutes. A total of about 9,000 students are planned to be brought to mixed learning.

**Masters**
By August 2, they should have written a [request](https://docs.google.com/document/d/13FJxmoUKzXYeRo9T8oGxshdi3MXm1faIDpQwAO6Tk1E/edit?usp=sharing) for a change in payment format and extension of residence in the dormitory until August 31.

If you did not write a request, please contact the manager.

**Hot Water**
In some dormitories, there has been no hot water for 3 months due to major repair work.

**Elevators**
Due to the stabilization of electricity supply, the operation of most elevators will be restored.

@kpicampus",434.0,August Settlement Plans Announced,"('Kyivteploenergo reports water supply disruptions starting tomorrow; hot water outages in some dorms persist for months due to repairs, affecting student living conditions.', 1092)",e6d956ff-ae83-45f6-8825-27741786ce4a,8834dd60bcc6f0ec08996f27927f7f39
