place_id,author_name,author_url,language,original_language,profile_photo_url,rating,relative_time_description,text,time,translated
ChIJMWRJ0CTM1EAR0z1wl70lCoA,Eron Cohen,https://www.google.com/maps/contrib/116472338777053439394/reviews,en,en,https://lh3.googleusercontent.com/a-/ALV-UjUpWPQbe8Uh_XkM8IWt2rtzoHdvdCKeUEyOt4z72O0d8Ju-B5Vlfw=s128-c0x00000000-cc-rp-mo-ba7,4,3 years ago,"This is a great place to stay. Modern and definitely has a personality. The front desk staff were nice and the atmosphere is fun.

Our room was very nice. Bed was quite firm, and pillows were ok, maybe a little soft for my taste.

The location is near a nice mall with lots of world-brand stores and ice skating...and that includes one of the largest grocery stores I have ever been to in my life. If you need to get down to the city center, that's going to take 20-30 minutes by car.

The reason they lose a star is that I found the hotel to be quite noisy at night. Aside from easily hearing guests talking in the halls, and whatever the neighbors might be ""doing"" in their room, the doors slam shut and it is quite loud. This is compounded by the fact that the halls are long and that creates an echo. If you read through other reviews, there isn't much mention of this, so maybe the issue is ""me..."" But, I'd just say if you're a light sleeper, you might want to consider a different hotel.",1628952319,False
ChIJMWRJ0CTM1EAR0z1wl70lCoA,Anastasia Almiasheva,https://www.google.com/maps/contrib/110185144611724311073/reviews,en,en,https://lh3.googleusercontent.com/a-/ALV-UjXT25rgS33cGqnCLBIFJJXNiDr9s70uphdgMm-KFwU7yDPWl9gSYw=s128-c0x00000000-cc-rp-mo-ba5,5,3 years ago,"Very nice place to stay. Rooms are clean and it's quite at night. Very good design everywhere, it's visible that place is new.
The location is ok, it's far from city centre but if you are interested to stay closer to university district it's a good place.
The hotel is dog friendly! Ah, also make sure to check if your room has windows as not all of them do",1629005444,False
ChIJMWRJ0CTM1EAR0z1wl70lCoA,Ihor Khashchivskyi,https://www.google.com/maps/contrib/112821947984679549711/reviews,en,en,https://lh3.googleusercontent.com/a-/ALV-UjVyqroEsqQioObhP02l49OyFVz9zItio87jxYsBPyavnaNO-ipUHw=s128-c0x00000000-cc-rp-mo-ba4,5,3 years ago,"Nice and cozy hotel. Value for the money. Staff was very friendly and helpful. Little bit far from the city center to walk, so can't have a proper evening walk and the area didn't look like roaming around , but metro station was near and public transportation is available as well (even though is not recommended to use). Taxi is cheap, so better use that. Ask the receptionist to help you with taxi calling (uber, bolt or uklon). Shopping center is right behind the hotel. Rooms are small for my taste , but everything is there, clean and neat. Laundry is bit expensive, but free laundry room is always available. 😉",1631613163,False
ChIJMWRJ0CTM1EAR0z1wl70lCoA,Sergey Ivaschenko,https://www.google.com/maps/contrib/103860521881303719998/reviews,en,en,https://lh3.googleusercontent.com/a-/ALV-UjXQmCqEmdqb2M9hmICfjNfJ3DmNPdyQ39kUsJSOptV6uSBj67yW=s128-c0x00000000-cc-rp-mo,4,9 years ago,Rooms are modern but not very big. A pet peeve of mine was how small the sink was. But it was a comfortable bed and nice people at the desk. Even got my breakfast coffee/espresso. Made for a good start in the morning.,1435303455,False
ChIJMWRJ0CTM1EAR0z1wl70lCoA,Mike Brown,https://www.google.com/maps/contrib/107436117156103299716/reviews,en,en,https://lh3.googleusercontent.com/a/ACg8ocK1415ms5EWtix9PbPBTYlUyfpNU4qEywJiR4R_TgY1iRSMrg=s128-c0x00000000-cc-rp-mo,5,3 years ago,"Nice clean hotel, friendly staff.  Great location.  Very modern design - simple, elegant.  It is on par with a typical business hotel in the US; however, there are no phones in the room.  Good value for the price.",1616249714,False
ChIJMWRJ0CTM1EAR3ogJrNX72_s,Radek Zemankiewicz,https://www.google.com/maps/contrib/106661107036598602569/reviews,en,en,https://lh3.googleusercontent.com/a/ACg8ocKQ_Kc48JrI3rPc7du5NTm87X4cIMhcfLdbX_B4tdw7XBzIHg=s128-c0x00000000-cc-rp-mo-ba3,3,in the last week,"The hotel is terribly dark. Such a depressing atmosphere.

The breakfast is terribly poor. During previous stays the breakfast was better. It is excellent at Ibis Kijów City, even though it is a lower standard hotel.

The room was OK. Clean. Everything worked.",1727609145,False
ChIJMWRJ0CTM1EAR3ogJrNX72_s,khaled alfaiomi,https://www.google.com/maps/contrib/115141762685247878169/reviews,en,en,https://lh3.googleusercontent.com/a-/ALV-UjX1wERT7pw0Sn9oRd7SDL9ZfJVFM__IznC4mh8BtLF0SfhmzHPHWg=s128-c0x00000000-cc-rp-mo-ba5,5,2 months ago,"I had a wonderful stay at this hotel. It was very quiet, providing a relaxing environment. Additionally, the parking was excellent, making it easy and convenient to get around. I highly recommend this hotel to anyone looking for a peaceful place with great facilities",1722282279,False
ChIJMWRJ0CTM1EAR3ogJrNX72_s,Sam Sammour,https://www.google.com/maps/contrib/117319294209479904942/reviews,en,en,https://lh3.googleusercontent.com/a-/ALV-UjWxoYaKKejcK06AbDXLji-9WLmZ6nIGh3FNdZizLKQW1HQdDlak=s128-c0x00000000-cc-rp-mo-ba4,5,4 months ago,"As a member of the hotel group I tend to compare between the hotels within the group, Mercure Kyiv location very good not in a very busy environment and not isolated just over 2km from city centre nicely decorated lobby and very polite staff, my only point at check in I had no induction at all about the property facilities such as gym, restaurant or anything.",1715116510,False
ChIJMWRJ0CTM1EAR3ogJrNX72_s,Viktor Voroncov,https://www.google.com/maps/contrib/111734041670059580237/reviews,en,en,https://lh3.googleusercontent.com/a-/ALV-UjVXsITuPqAjRSd_IlMZR2yWDAyGotg23QOs3y6u-ZojPpk8sMcU=s128-c0x00000000-cc-rp-mo,5,8 months ago,"I visited Mercure Kyiv Congress first time and really enjoy my stay. Location of hotel is very convinient if you come with car. Peak hours could be some trafic delays. Huge parking with some multi storey area which is advantage these difficult time. Spacy well equipped rooms, excellent bathroom. Breakfast could be better but I was really happy with choice and miss only orange juice. But restaraunt served great dinners with local made beer.
Excellent service from multilanguale staff.
I also use conference room service and can recommend this hotel for business meetings.",1705865647,False
ChIJMWRJ0CTM1EAR3ogJrNX72_s,Val,https://www.google.com/maps/contrib/108865575962355983759/reviews,en,en,https://lh3.googleusercontent.com/a/ACg8ocI7JKMQcOzdhlrbSyV3VD3HePen5XK482tO7fXEYFaFEdA6YYsm=s128-c0x00000000-cc-rp-mo-ba4,5,2 years ago,"Hotel is good, girls at reception were excellent, very helpful and kind. Their restaurant was outstanding, chef is from god. First time since I travel i ate 2 - 3 times in the hotel Since food was top class and cakes 10/10. Good location everything you need is near and very easy to catch taxi, uber.",1644832266,False
ChIJK4BYmTfM1EARtmRDbqjn2wE,Oleksii Balykov,https://www.google.com/maps/contrib/110933306690791423070/reviews,en,en,https://lh3.googleusercontent.com/a/ACg8ocKi2m3K5nBsTJec_Xwp7wkxbiulPGu0_sJ6Bka8GN_mmNWMsQ=s128-c0x00000000-cc-rp-mo-ba3,4,7 years ago,"Not far from the underground. A convenient bathroom, we met friendly manager. As for cons, we had to ask for cleaning after two nights of staying, the electric lock could work with issues, a little bit dusty.",1483377138,False
ChIJK4BYmTfM1EARtmRDbqjn2wE,Tsitsyura Olexandr,https://www.google.com/maps/contrib/110985257926256609357/reviews,en,en,https://lh3.googleusercontent.com/a-/ALV-UjXi22_kjKJSz7W6ab_KlRWpFKVx5Lg4c1q25DQCt6m0ZEC-ctEukQ=s128-c0x00000000-cc-rp-mo-ba4,5,6 years ago,"Nice place to spend one night during business trip. Serves tasty Ukrainian food. Serves room for conference conducting. Room includes compact fridge, electrical kettle.",1519982819,False
